                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.0986,                 1.2845,                 1.2502,                0.67062,                0.55085,                0.59811,                0.44007,                0.99008,                 1.0153,                 1.1543,                0.00901,                0.00901,                0.00901
                    102,                  1.095,                 1.2879,                 1.2508,                0.67386,                0.54878,                0.59799,                0.43983,                0.99007,                  1.016,                 1.1538,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.0975,                  1.285,                 1.2504,                0.67927,                0.54628,                0.59855,                0.44072,                 0.9899,                 1.0159,                 1.1532,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.0959,                 1.2844,                 1.2488,                0.67657,                0.54635,                0.59883,                0.44094,                0.98969,                 1.0154,                 1.1527,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.0961,                 1.2855,                 1.2489,                 0.6746,                0.54767,                0.59953,                0.44111,                0.98918,                 1.0141,                  1.152,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.0938,                 1.2855,                 1.2473,                0.67776,                0.54682,                0.60014,                0.44195,                0.98857,                 1.0128,                  1.151,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.0962,                 1.2826,                 1.2462,                0.67543,                0.54675,                0.60001,                0.44193,                0.98882,                 1.0123,                 1.1509,              0.0089506,              0.0089506,              0.0089506
                    108,                  1.096,                 1.2816,                  1.248,                0.68482,                0.54307,                0.60085,                0.44283,                 0.9892,                 1.0115,                 1.1509,              0.0089407,              0.0089407,              0.0089407
                    109,                 1.0948,                 1.2792,                 1.2448,                0.68438,                0.54321,                0.60071,                0.44291,                0.98915,                 1.0106,                 1.1505,              0.0089308,              0.0089308,              0.0089308
                    110,                 1.0949,                   1.28,                 1.2445,                0.67539,                0.54839,                0.60133,                0.44275,                 0.9895,                 1.0103,                 1.1503,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.0948,                 1.2804,                  1.244,                0.67386,                0.55016,                0.60157,                0.44306,                0.98963,                 1.0098,                 1.1495,               0.008911,               0.008911,               0.008911
                    112,                 1.0916,                 1.2777,                 1.2448,                0.68197,                0.54947,                0.60228,                  0.443,                0.98959,                 1.0089,                 1.1492,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.0934,                  1.275,                  1.244,                 0.6914,                0.54223,                0.60309,                0.44394,                0.98889,                 1.0082,                 1.1487,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.0954,                 1.2783,                 1.2431,                0.67276,                0.55266,                0.60289,                0.44346,                 0.9892,                 1.0081,                 1.1486,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.0966,                  1.277,                 1.2417,                0.68496,                0.54999,                0.60249,                0.44345,                0.98925,                 1.0069,                 1.1484,              0.0088714,              0.0088714,              0.0088714
                    116,                 1.0931,                 1.2753,                 1.2425,                0.68508,                0.55039,                0.60344,                0.44378,                0.98971,                 1.0076,                 1.1485,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.0944,                 1.2772,                 1.2424,                0.68367,                0.55287,                 0.6031,                0.44384,                0.98903,                 1.0066,                 1.1475,              0.0088516,              0.0088516,              0.0088516
                    118,                  1.092,                 1.2769,                 1.2429,                0.69023,                0.54882,                0.60332,                0.44424,                0.98912,                  1.006,                 1.1472,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.0954,                 1.2722,                 1.2423,                0.68647,                0.55211,                0.60411,                0.44485,                0.98894,                 1.0062,                  1.147,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.0919,                 1.2734,                 1.2418,                 0.6843,                0.55245,                0.60373,                0.44505,                0.98869,                 1.0047,                 1.1468,              0.0088219,              0.0088219,              0.0088219
                    121,                   1.09,                 1.2708,                 1.2393,                0.68691,                0.55281,                0.60401,                0.44522,                0.98794,                 1.0045,                 1.1456,               0.008812,               0.008812,               0.008812
